conversion,interval,right_border,credits_overall
1.0,-0.001-0.0002,0.0002,44
1.0,0.0002-0.0003,0.0003,44
1.0,0.0003-0.0004,0.0004,44
1.0,0.0004-0.0005,0.0005,42
1.0,0.0005-0.0006,0.0006,45
1.0,0.0006-0.0007,0.0007,44
1.0,0.0007-0.0007,0.0007,44
1.0,0.0007-0.0008,0.0008,44
1.0,0.0008-0.0009,0.0009,44
1.0,0.0009-0.001,0.001,43
1.0,0.001-0.0011,0.0011,45
1.0,0.0011-0.0011,0.0011,42
0.9782608695652174,0.0011-0.0012,0.0012,46
1.0,0.0012-0.0013,0.0013,42
0.975,0.0013-0.0014,0.0014,40
1.0,0.0014-0.0015,0.0015,49
1.0,0.0015-0.0016,0.0016,44
1.0,0.0016-0.0017,0.0017,43
1.0,0.0017-0.0018,0.0018,45
0.9761904761904762,0.0018-0.002,0.002,42
1.0,0.002-0.0021,0.0021,43
0.9772727272727273,0.0021-0.0022,0.0022,44
1.0,0.0022-0.0024,0.0024,44
1.0,0.0024-0.0025,0.0025,46
1.0,0.0025-0.0026,0.0026,44
1.0,0.0026-0.0027,0.0027,41
1.0,0.0027-0.0029,0.0029,46
1.0,0.0029-0.0031,0.0031,43
0.9767441860465116,0.0031-0.0032,0.0032,43
1.0,0.0032-0.0034,0.0034,45
0.975,0.0034-0.0035,0.0035,40
1.0,0.0035-0.0037,0.0037,47
1.0,0.0037-0.0039,0.0039,43
0.9555555555555556,0.0039-0.0042,0.0042,45
1.0,0.0042-0.0044,0.0044,42
1.0,0.0044-0.0046,0.0046,45
1.0,0.0046-0.0048,0.0048,44
1.0,0.0048-0.0052,0.0052,43
0.9782608695652174,0.0052-0.0054,0.0054,46
1.0,0.0054-0.0058,0.0058,42
0.9777777777777777,0.0058-0.0061,0.0061,45
1.0,0.0061-0.0064,0.0064,43
0.9772727272727273,0.0064-0.0067,0.0067,44
1.0,0.0067-0.007,0.007,43
0.9772727272727273,0.007-0.0074,0.0074,44
0.9772727272727273,0.0074-0.0078,0.0078,44
0.9767441860465116,0.0078-0.0081,0.0081,43
1.0,0.0081-0.0084,0.0084,45
1.0,0.0084-0.009,0.009,42
1.0,0.009-0.0094,0.0094,44
0.9777777777777777,0.0094-0.0097,0.0097,45
0.9565217391304348,0.0097-0.0102,0.0102,46
0.9787234042553191,0.0102-0.0107,0.0107,47
1.0,0.0107-0.0112,0.0112,41
0.9743589743589743,0.0112-0.0117,0.0117,39
0.9574468085106383,0.0117-0.0124,0.0124,47
0.9285714285714286,0.0124-0.013,0.013,42
1.0,0.013-0.0138,0.0138,45
0.9347826086956522,0.0138-0.0148,0.0148,46
0.975609756097561,0.0148-0.0156,0.0156,41
1.0,0.0156-0.0165,0.0165,47
0.975,0.0165-0.0173,0.0173,40
0.9347826086956522,0.0173-0.0183,0.0183,46
0.9772727272727273,0.0183-0.0193,0.0193,44
0.9069767441860465,0.0193-0.0203,0.0203,43
0.9761904761904762,0.0203-0.0214,0.0214,42
0.975,0.0214-0.0226,0.0226,40
0.9166666666666666,0.0226-0.0239,0.0239,48
1.0,0.0239-0.0256,0.0256,41
1.0,0.0256-0.0272,0.0272,47
0.9302325581395349,0.0272-0.0294,0.0294,43
1.0,0.0294-0.0315,0.0315,45
0.9512195121951219,0.0315-0.0331,0.0331,41
0.8913043478260869,0.0331-0.0355,0.0355,46
0.9772727272727273,0.0355-0.0379,0.0379,44
0.9534883720930233,0.0379-0.0403,0.0403,43
0.9347826086956522,0.0403-0.0429,0.0429,46
0.9285714285714286,0.0429-0.0462,0.0462,42
0.9772727272727273,0.0462-0.0507,0.0507,44
0.9545454545454546,0.0507-0.0548,0.0548,44
0.9772727272727273,0.0548-0.0589,0.0589,44
0.9302325581395349,0.0589-0.0651,0.0651,43
0.9555555555555556,0.0651-0.0713,0.0713,45
0.9069767441860465,0.0713-0.0763,0.0763,43
0.9534883720930233,0.0763-0.0864,0.0864,43
0.9318181818181818,0.0864-0.0955,0.0955,44
0.9166666666666666,0.0955-0.106,0.106,48
0.875,0.106-0.116,0.116,40
0.9545454545454546,0.116-0.13,0.13,44
0.8695652173913043,0.13-0.144,0.144,46
0.8837209302325582,0.144-0.161,0.161,43
0.9285714285714286,0.161-0.181,0.181,42
0.7727272727272727,0.181-0.22,0.22,44
0.7727272727272727,0.22-0.265,0.265,44
0.7045454545454546,0.265-0.308,0.308,44
0.7906976744186046,0.308-0.375,0.375,43
0.5909090909090909,0.375-0.445,0.445,44
0.5454545454545454,0.445-0.578,0.578,44
0.45454545454545453,0.578-0.789,0.789,44
0.06818181818181818,0.789-0.995,0.995,44
